Date,Open,High,Low,Close,Adj Close,Volume,Date
1/3/2024,470.429993,471.190002,468.170013,468.790009,467.337982,103585900,
1/4/2024,468.299988,470.959991,467.049988,467.279999,465.832642,84232200,
1/5/2024,467.48999,470.440002,466.429993,467.920013,466.470673,86060800,
1/8/2024,468.429993,474.75,468.299988,474.600006,473.129974,74879100,
1/9/2024,471.869995,474.929993,471.350006,473.880005,472.412201,65931400,
1/10/2024,474.160004,477.450012,473.869995,476.559998,475.083893,67310600,
1/11/2024,477.589996,478.119995,472.26001,476.350006,474.874542,77940700,
1/12/2024,477.839996,478.600006,475.230011,476.679993,475.203522,57944000,
1/16/2024,475.26001,476.609985,473.059998,474.929993,473.458923,85014900,
1/17/2024,471.820007,472.790009,469.869995,472.290009,470.827118,68843900,
1/18/2024,474.01001,477.059998,472.420013,476.48999,475.014099,91856200,
1/19/2024,477.649994,482.720001,476.540009,482.429993,480.935699,110733300,
1/22/2024,484.01001,485.220001,482.779999,483.450012,481.952576,75844900,
1/23/2024,484.01001,485.109985,482.890015,484.859985,483.358185,49945300,
1/24/2024,487.809998,488.769989,484.880005,485.390015,483.886566,81765000,
1/25/2024,487.579987,488.309998,485.390015,488.029999,486.518372,72525000,
1/26/2024,487.589996,489.119995,486.540009,487.410004,485.900299,76641600,
1/29/2024,487.730011,491.420013,487.170013,491.269989,489.748322,61322800,
1/30/2024,490.559998,491.619995,490.109985,490.890015,489.369537,58618400,
1/31/2024,488.619995,489.079987,482.859985,482.880005,481.384338,126011100,
2/1/2024,484.630005,489.230011,483.799988,489.200012,487.684753,91891600,
2/2/2024,489.649994,496.049988,489.299988,494.350006,492.818787,99147700,
2/5/2024,493.700012,494.380005,490.230011,492.549988,491.024353,75757100,
2/6/2024,493.519989,494.320007,492.049988,493.980011,492.449951,55918600,
2/7/2024,496.290009,498.529999,495.359985,498.100006,496.55719,70556500,
2/8/2024,498.100006,498.709991,497.26001,498.320007,496.776489,52343600,
2/9/2024,498.839996,501.649994,498.48999,501.200012,499.647583,63979400,
2/12/2024,501.170013,503.5,500.23999,500.980011,499.428253,56502300,
2/13/2024,494.529999,497.089996,490.720001,494.079987,492.549622,113099200,
2/14/2024,496.790009,499.070007,494.399994,498.570007,497.025726,68387800,
2/15/2024,499.290009,502.200012,498.799988,502.01001,500.455078,61683000,
2/16/2024,501.700012,502.869995,498.75,499.51001,497.96283,75461200,
2/20/2024,497.720001,498.410004,494.450012,496.76001,495.221344,71736700,
2/21/2024,495.420013,497.369995,493.559998,497.209991,495.669922,59603800,
2/22/2024,504.01001,508.48999,503.019989,507.5,505.92807,76402500,
2/23/2024,509.269989,510.130005,507.100006,507.850006,506.276978,61321800,
2/26/2024,508.299988,508.75,505.859985,505.98999,504.422729,50386700,
2/27/2024,506.700012,507.160004,504.75,506.929993,505.359833,48854500,
2/28/2024,505.329987,506.859985,504.959991,506.26001,504.691925,56506600,
2/29/2024,508.070007,509.73999,505.350006,508.079987,506.506256,83924800,
3/1/2024,508.980011,513.289978,508.559998,512.849976,511.261475,76805900,
3/4/2024,512.030029,514.200012,512,512.299988,510.713196,49799300,
3/5/2024,510.23999,510.700012,504.910004,507.179993,505.609039,72855600,
3/6/2024,510.549988,512.070007,508.420013,509.75,508.171082,68382400,
3/7/2024,513.140015,515.890015,509.809998,514.809998,513.215393,58652100,
3/8/2024,515.460022,518.219971,511.130005,511.720001,510.134979,86425500,
3/11/2024,510.480011,511.880005,508.5,511.279999,509.69635,62557200,
3/12/2024,513.450012,517.380005,510.859985,516.780029,515.179321,73114400,
3/13/2024,517.109985,517.289978,514.48999,515.969971,514.371826,55104100,
3/14/2024,516.969971,517.130005,511.820007,514.950012,513.35498,110171800,
3/15/2024,510.209991,511.700012,508.119995,509.829987,509.829987,107585800,
3/18/2024,514,515.47998,512.440002,512.859985,512.859985,88893300,
3/19/2024,512.150024,516,511.119995,515.710022,515.710022,60755300,
3/20/2024,515.77002,520.619995,515.080017,520.47998,520.47998,69594600,
3/21/2024,523.390015,524.109985,521.909973,522.200012,522.200012,60256100,
3/22/2024,522.109985,522.609985,520.969971,521.210022,521.210022,79023000,
3/25/2024,519.799988,520.950012,519.609985,519.77002,519.77002,48512100,
3/26/2024,521.22998,521.580017,518.400024,518.809998,518.809998,65463700,
3/27/2024,521.710022,523.210022,519.48999,523.169983,523.169983,82999800,
3/28/2024,523.210022,524.609985,522.780029,523.070007,523.070007,96294900,
4/1/2024,523.830017,524.380005,520.969971,522.159973,522.159973,62477500,
4/2/2024,518.23999,518.97998,516.47998,518.840027,518.840027,74230300,
4/3/2024,517.719971,520.950012,517.669983,519.409973,519.409973,59155800,
4/4/2024,523.52002,523.869995,512.76001,513.070007,513.070007,96858100,
4/5/2024,514.460022,520.440002,514.01001,518.429993,518.429993,74482100,
4/8/2024,519.150024,520.179993,517.890015,518.719971,518.719971,48401800,
4/9/2024,520.5,520.75,514.349976,519.320007,519.320007,68124400,
4/10/2024,513.47998,516.159973,512.090027,514.119995,514.119995,82652800,
4/11/2024,515.679993,519.47998,512.080017,518,518,70099000,
4/12/2024,514.369995,515.820007,509.079987,510.850006,510.850006,92469100,
4/15/2024,515.130005,515.299988,503.579987,504.450012,504.450012,92101400,
4/16/2024,504.940002,506.5,502.209991,503.529999,503.529999,73484000,
4/17/2024,506.049988,506.220001,499.119995,500.549988,500.549988,75910300,
4/18/2024,501.980011,504.130005,498.559998,499.519989,499.519989,74548100,
4/19/2024,499.440002,500.459991,493.859985,495.160004,495.160004,102129100,
4/22/2024,497.829987,502.380005,495.429993,499.720001,499.720001,67961000,
4/23/2024,501.779999,506.089996,499.529999,505.649994,505.649994,64633600,
4/24/2024,506.559998,507.369995,503.130005,505.410004,505.410004,55928100,
4/25/2024,499.179993,504.269989,497.48999,503.48999,503.48999,69122400,
4/26/2024,506.350006,509.880005,505.700012,508.26001,508.26001,64306100,
4/29/2024,510.089996,510.75,507.25,510.059998,510.059998,46415400,
4/30/2024,508.559998,509.559998,501.980011,501.980011,501.980011,77483600,
5/1/2024,501.380005,508.190002,499.869995,500.350006,500.350006,80242800,
5/2/2024,504.149994,505.890015,499.549988,505.029999,505.029999,62550200,
5/3/2024,511.160004,512.549988,508.559998,511.290009,511.290009,72756700,
5/6/2024,513.75,516.609985,513.299988,516.570007,516.570007,47264700,
5/7/2024,517.559998,518.570007,516.450012,517.140015,517.140015,52561300,
5/8/2024,515.26001,517.73999,515.140015,517.190002,517.190002,42047200,
5/9/2024,517.380005,520.210022,516.710022,520.169983,520.169983,43643700,
5/10/2024,521.809998,522.640015,519.590027,520.840027,520.840027,52233200,
5/13/2024,522.559998,522.669983,519.73999,520.909973,520.909973,36677700,
